station,x,y,Male,Female
New Street,0.5,-0.75,76,81
Duddeston,2.5,0.9,74,79
Aston,3,2.25,76,82
Gravelly Hill,3.25,3.5,75,81
Erdington,3.5,5,77,81
Chester Road,3.75,6.5,81,84
Wyde Green,4,8,81,84
Sutton Coldfield,4,9.25,80,85
Four Oaks,4,11.25,84,87
Five Ways,-2.75,-1.1,79,83
University,-3.25,-3.25,79,83
Selly Oak,-3.65,-5.25,77,81
Bournville,-4,-7.25,79,83
Kings Norton,-4.1,-9.25,76,83
Longbridge,-4.1,-11,77,80
Moor Street,0.5,-3,74,79
Bordesely,1.75,-4.25,74,79
Small Heath,3,-4.75,77,81
Tyseley,4.5,-5,77,81
Acocks Green,5.75,-5,77,81
Snow Hill,-0.9,3.25,76,81
St. Pauls,-1.25,4.35,76,81
Jewellery Quarter,-2.15,5.25,76,81
Soho,-3.25,5.85,74,81
Winson Green,-4.5,6.25,74,81
Handsworth,-6,6.25,74,81
